id	source
ERR016670	blood
ERR016672	blood
ERR016750	blood
ERR016782	blood
ERR016802	cerebrospinal_fluid
ERR016823	cerebrospinal_fluid
ERR016836	blood
ERR016838	blood
ERR016840	blood
ERR016844	cerebrospinal_fluid
ERR016845	cerebrospinal_fluid
ERR016847	cerebrospinal_fluid
ERR019728	blood
ERR019730	blood
ERR019731	blood
ERR023230	cerebrospinal_fluid
ERR023422	blood
ERR023443	blood
ERR023445	blood
ERR023447	blood
ERR023449	blood
ERR023451	blood
ERR023452	blood
ERR023460	blood
ERR024247	blood
ERR024252	blood
ERR024253	blood
ERR024254	blood
ERR024255	blood
ERR024257	cerebrospinal_fluid
ERR024258	blood
ERR024259	cerebrospinal_fluid
ERR024263	blood
X27570	nasopharynx
X27611	nasopharynx
X27701	nasopharynx
X27709	nasopharynx
X27710	nasopharynx
X27727	nasopharynx
X27729	nasopharynx
X27734	nasopharynx
X27744	nasopharynx
X27775	nasopharynx
X27782	nasopharynx
X27791	nasopharynx
X27793	nasopharynx
X27828	nasopharynx
X27842	nasopharynx
X27851	nasopharynx
X27853	nasopharynx
X27868	nasopharynx
X27882	nasopharynx
X27893	nasopharynx
X27901	nasopharynx
X27915	nasopharynx
X27935	nasopharynx
X27943	nasopharynx
X27945	nasopharynx
X27949	nasopharynx
X29310	nasopharynx
X29315	nasopharynx
X29316	nasopharynx
X34066	nasopharynx
X35010	nasopharynx
X35895	nasopharynx
X35899	nasopharynx
X35991	nasopharynx
X39018	nasopharynx
X39038	nasopharynx
X39039	nasopharynx
X42366	nasopharynx
X42367	nasopharynx
X43189	nasopharynx

