Locus	ERR016640	ERR016670	ERR016672	ERR016750	ERR016782	ERR016802	ERR016823	ERR016836	ERR016838	ERR016840	ERR016844	ERR016845	ERR016847	ERR019728	ERR019730	ERR019731	ERR023230	ERR023422	ERR023443	ERR023445	ERR023447	ERR023449	ERR023451	ERR023452	ERR023460	ERR024247	ERR024252	ERR024253	ERR024254	ERR024255	ERR024257	ERR024258	ERR024259	ERR024263	27570 	27611 	27701 	27709 	27710 	27727 	27729 	27734 	27744 	27775 	27782 	27791 	27793 	27828 	27842 	27851 	27853 	27868 	27882 	27893 	27901 	27915 	27935 	27943 	27945 	27949 	29310 	29315 	29316 	34066 	35010 	35895 	35899 	35991 	39018 	39038 	39039 	42366 	42367 	43189 
SPNE00001	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	82	4	4	4	4	4	4	4	4	4	4
SPNE00002	4	4	I	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	38	4	4	4	38	4	38	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
SPNE00003	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	new1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	63	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	131	4	4	4
SPNE00004	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	26	3	3	3	26	3	26	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
SPNE00005	I	I	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	new1	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	X	17	17	17	17	17	17	17	17	17	17	X	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
SPNE00006	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SPNE00007	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SPNE00008	4	4	4	4	I	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
SPNE00009	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
SPNE00010	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
SPNE00011	4	4	4	35	35	35	4	35	4	4	4	I	I	4	4	4	4	4	4	4	35	4	4	4	4	4	I	4	4	I	4	4	4	I	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
SPNE00012	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	new1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
SPNE00013	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
SPNE00014	4	4	4	4	4	4	4	new1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
SPNE00015	3	X	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
